,Modele,type,Année,Km,Vendeur,Prix €,Numéro,Price Central €,Value Argus
0,life,type 2,2016,10064.0,Particulier,14000.0,,13731.0,269.0
1,zen,charge rapide,2015,19500.0,Particulier,12000.0,,12849.0,-849.0
2,intens,,2016,2500.0,Pro,23512.0,0183799570,,
3,intens,charge rapide,2013,30000.0,Particulier,9600.0,,10639.0,-1039.0
4,zen,type 2,2016,100.0,Pro,16890.0,0183799570,14207.0,2683.0
5,life,charge rapide,2015,11494.0,Pro,10990.0,,12424.0,-1434.0
6,zen,charge rapide,2014,17791.0,Pro,10190.0,,11591.0,-1401.0
7,intens,charge rapide type 2,2016,1000.0,Pro,17100.0,0805805802,14564.0,2536.0
8,life,type 2,2016,2000.0,Pro,21490.0,,13731.0,7759.0
9,life,,2015,7569.0,Pro,11290.0,0175448159,12258.0,-968.0
10,intens,charge rapide type 2,2016,1000.0,Pro,17100.0,0805805802,14564.0,2536.0
11,life,type 2,2016,2000.0,Pro,21490.0,,13731.0,7759.0
12,life,type 2,2016,10.0,Pro,13490.0,,13731.0,-241.0
13,intens,charge rapide type 2,2016,3000.0,Pro,15490.0,,14564.0,926.0
14,life,,2016,1700.0,Particulier,12800.0,,,
15,zen,,2013,18679.0,Pro,10490.0,0147802322,,
16,zen,,2013,27689.0,Pro,8990.0,0174704406,,
17,intens,,2014,42000.0,Particulier,12000.0,,,
18,intens,,2013,53800.0,Pro,9790.0,0139754280,,
19,life,charge rapide,2015,11480.0,Pro,11720.0,0175448151,12424.0,-704.0
20,zen,,2016,6000.0,Pro,16500.0,0184040214,,
21,life,,2015,22000.0,Particulier,10800.0,,12258.0,-1458.0
22,zen,,2016,1.0,Pro,13990.0,0160625056,,
23,zen,,2016,100.0,Pro,20000.0,0184030570,,
24,intens,,2015,2350.0,Pro,20900.0,0175448643,12913.0,7987.0
25,life,type 2,2016,100.0,Pro,19700.0,0184030570,13731.0,5969.0
26,intens,charge rapide,2015,17979.0,Pro,12500.0,0175448151,13074.0,-574.0
27,zen,charge rapide,2015,12800.0,Particulier,12700.0,,12849.0,-149.0
28,zen,,2013,21500.0,Pro,9990.0,0171025422,,
29,life,type 2,2016,14.0,Pro,12990.0,,13731.0,-741.0
30,zen,,2013,24973.0,Pro,10490.0,0170176498,,
31,zen,,2016,100.0,Pro,14800.0,0184030570,,
32,life,charge rapide,2015,13195.0,Pro,10990.0,0174704406,12424.0,-1434.0
33,intens,charge rapide,2013,7700.0,Pro,11490.0,,10639.0,851.0
34,life,charge rapide,2014,7297.0,Pro,9970.0,,11208.0,-1238.0
35,life,type 2,2016,10064.0,Particulier,14000.0,,13731.0,269.0
36,zen,charge rapide,2015,19500.0,Particulier,12000.0,,12849.0,-849.0
37,intens,,2016,2500.0,Pro,23512.0,0183799570,,
38,intens,charge rapide,2013,30000.0,Particulier,9600.0,,10639.0,-1039.0
39,zen,type 2,2016,100.0,Pro,16890.0,0183799570,14207.0,2683.0
40,life,charge rapide,2015,11494.0,Pro,10990.0,,12424.0,-1434.0
41,zen,charge rapide,2014,17791.0,Pro,10190.0,,11591.0,-1401.0
42,intens,charge rapide type 2,2016,1000.0,Pro,17100.0,0805805802,14564.0,2536.0
43,life,type 2,2016,2000.0,Pro,21490.0,,13731.0,7759.0
44,life,,2015,7569.0,Pro,11290.0,0175448159,12258.0,-968.0
45,intens,charge rapide type 2,2016,1000.0,Pro,17100.0,0805805802,14564.0,2536.0
46,life,type 2,2016,2000.0,Pro,21490.0,,13731.0,7759.0
47,life,type 2,2016,10.0,Pro,13490.0,,13731.0,-241.0
48,intens,charge rapide type 2,2016,3000.0,Pro,15490.0,,14564.0,926.0
49,life,,2016,1700.0,Particulier,12800.0,,,
50,zen,,2013,18679.0,Pro,10490.0,0147802322,,
51,zen,,2013,27689.0,Pro,8990.0,0174704406,,
52,intens,,2014,42000.0,Particulier,12000.0,,,
53,intens,,2013,53800.0,Pro,9790.0,0139754280,,
54,life,charge rapide,2015,11480.0,Pro,11720.0,0175448151,12424.0,-704.0
55,zen,,2016,6000.0,Pro,16500.0,0184040214,,
56,life,,2015,22000.0,Particulier,10800.0,,12258.0,-1458.0
57,zen,,2016,1.0,Pro,13990.0,0160625056,,
58,zen,,2016,100.0,Pro,20000.0,0184030570,,
59,intens,,2015,2350.0,Pro,20900.0,0175448643,12913.0,7987.0
60,life,type 2,2016,100.0,Pro,19700.0,0184030570,13731.0,5969.0
61,intens,charge rapide,2015,17979.0,Pro,12500.0,0175448151,13074.0,-574.0
62,zen,charge rapide,2015,12800.0,Particulier,12700.0,,12849.0,-149.0
63,zen,,2013,21500.0,Pro,9990.0,0171025422,,
64,life,type 2,2016,14.0,Pro,12990.0,,13731.0,-741.0
65,zen,,2013,24973.0,Pro,10490.0,0170176498,,
66,zen,,2016,100.0,Pro,14800.0,0184030570,,
67,life,charge rapide,2015,13195.0,Pro,10990.0,0174704406,12424.0,-1434.0
68,intens,charge rapide,2013,7700.0,Pro,11490.0,,10639.0,851.0
69,life,charge rapide,2014,7297.0,Pro,9970.0,,11208.0,-1238.0
70,life,type 2,2016,6000.0,Particulier,14000.0,,13731.0,269.0
71,zen,,2013,39000.0,Particulier,9500.0,,,
72,life,,2014,24000.0,Particulier,9490.0,,,
73,intens,,2015,5297.0,Pro,12900.0,,12913.0,-13.0
74,life,,2015,12905.0,Pro,11990.0,0531081450,12258.0,-268.0
75,zen,,2013,36562.0,Pro,8990.0,,,
76,life,type 2,2016,1073.0,Pro,13700.0,,13731.0,-31.0
77,life,type 2,2016,2000.0,Pro,13200.0,0516066013,13731.0,-531.0
78,life,type 2,2016,1500.0,Pro,18900.0,0516066014,13731.0,5169.0
79,,,2014,24000.0,Pro,8990.0,,,
80,life,type 2,2016,2000.0,Pro,14500.0,0516066011,13731.0,769.0
81,intens,,2013,46000.0,Particulier,9500.0,,,
82,life,,2015,10139.0,Pro,12490.0,0531081450,12258.0,232.0
83,life,type 2,2016,2000.0,Pro,18900.0,0524449110,13731.0,5169.0
84,zen,type 2,2016,2500.0,Pro,14700.0,0516066011,14207.0,493.0
85,life,type 2,2016,10.0,Pro,13490.0,,13731.0,-241.0
86,life,charge rapide,2015,16300.0,Pro,9999.0,,12424.0,-2425.0
87,intens,,2013,17000.0,Particulier,10000.0,0615222549,,
88,zen,charge rapide,2015,4750.0,Pro,12990.0,0687808813,12849.0,141.0
89,intens,charge rapide,2015,8000.0,Pro,12900.0,0484320215,13074.0,-174.0
90,intens,,2016,10.0,Pro,15590.0,0422170122,,
91,life,charge rapide,2014,7628.0,Pro,10850.0,,11208.0,-358.0
92,life,charge rapide,2014,7628.0,Pro,10350.0,,11208.0,-858.0
93,intens,,2014,3500.0,Particulier,12500.0,,,
94,life,,2015,3666.0,Pro,11900.0,0422170199,12258.0,-358.0
95,intens,,2013,20000.0,Particulier,10000.0,,,
96,,,2016,20.0,Particulier,17000.0,,,
97,intens,charge rapide,2014,13243.0,Pro,12490.0,,11794.0,696.0
98,zen,,2013,46145.0,Pro,8990.0,0490789523,,
99,intens,,2014,11269.0,Pro,11990.0,0422170108,,
100,intens,,2013,32154.0,Pro,9900.0,,,
101,life,,2015,7090.0,Pro,11990.0,0422170122,12258.0,-268.0
102,zen,,2014,23000.0,Pro,5600.0,0494385104,,
103,intens,,2014,9400.0,Particulier,11500.0,,,
104,intens,,2013,37500.0,Particulier,9200.0,,,
