;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille;Rennes;Reims;Le Havre;Saint-Etienne;Toulon;Grenoble;Dijon;Nmes;Angers;Villeurbanne;Le Mans;Aix-en-Provence;Clermont-Ferrand;Brest;Limoges;Tours;Amiens;Perpignan;Metz
Paris;0.0;775147.0;465838.0;679426.0;932197.0;385168.0;491901.0;747845.0;584537.0;219312.0;354713.0;144400.0;195688.0;523713.0;839080.0;575642.0;315165.0;712322.0;296200.0;471142.0;208715.0;760774.0;424645.0;591442.0;392320.0;239611.0;144429.0;848304.0;330848.0
Marseille;774927.0;0.0;313685.0;402891.0;199463.0;985435.0;798380.0;170370.0;645148.0;999852.0;1051571.0;798019.0;965208.0;332616.0;66513.0;305613.0;504625.0;121541.0;905386.0;317633.0;891774.0;33840.0;473724.0;1279804.0;690328.0;797446.0;918295.0;317271.0;766090.0
Lyon;466053.0;314190.0;0.0;537075.0;471240.0;685227.0;487680.0;304554.0;555681.0;690978.0;742444.0;489145.0;656334.0;62757.0;378123.0;111391.0;195751.0;251365.0;596259.0;8594.0;582647.0;299817.0;164597.0;970677.0;409926.0;488319.0;609421.0;451455.0;457216.0
Toulouse;678904.0;403446.0;537518.0;0.0;560496.0;584963.0;968785.0;242511.0;244676.0;894415.0;703761.0;812669.0;858904.0;535588.0;467379.0;529446.0;671672.0;290491.0;642452.0;541466.0;681173.0;389073.0;375964.0;881821.0;289856.0;586845.0;825128.0;205475.0;933137.0
Nice;932341.0;204861.0;471099.0;560305.0;0.0;1142850.0;784866.0;327784.0;802563.0;1157266.0;1208986.0;955433.0;1122623.0;490031.0;149787.0;463027.0;662040.0;278955.0;1062801.0;475047.0;1049188.0;176499.0;631139.0;1437219.0;847743.0;954861.0;1075709.0;474686.0;923505.0
Nantes;384542.0;985868.0;685084.0;585999.0;1142918.0;0.0;865808.0;824934.0;346928.0;600053.0;113409.0;518307.0;384270.0;664242.0;1049802.0;793075.0;638071.0;872913.0;90720.0;690279.0;184229.0;971496.0;535755.0;295308.0;326345.0;215653.0;505795.0;787897.0;704755.0
Strasbourg;490232.0;799552.0;492813.0;970962.0;784276.0;865646.0;0.0;789916.0;968927.0;524658.0;835191.0;350429.0;698625.0;548119.0;863486.0;575192.0;329865.0;736727.0;776677.0;482846.0;689192.0;785180.0;630898.0;1071920.0;731973.0;694129.0;525990.0;936818.0;165141.0
Montpellier;747998.0;169037.0;303110.0;242383.0;326087.0;824928.0;787805.0;0.0;484641.0;963510.0;917787.0;787444.0;927999.0;322041.0;232971.0;295037.0;494050.0;56083.0;771603.0;307058.0;757990.0;154665.0;332402.0;1121786.0;424180.0;663662.0;894222.0;156764.0;755515.0
Bordeaux;590492.0;645494.0;555983.0;245625.0;802545.0;353408.0;968338.0;484560.0;0.0;806003.0;472206.0;724257.0;691212.0;535141.0;709428.0;663975.0;671225.0;532540.0;410897.0;561178.0;449618.0;631122.0;375517.0;650266.0;227291.0;355290.0;736716.0;447523.0;930423.0
Lille;225194.0;1000932.0;691624.0;894913.0;1157982.0;600654.0;525123.0;963331.0;800023.0;0.0;570200.0;206487.0;316166.0;749498.0;1064865.0;801427.0;501246.0;938107.0;511686.0;696927.0;424201.0;986559.0;640132.0;758737.0;607807.0;455097.0;143532.0;1063791.0;363854.0
Rennes;349310.0;1046616.0;738598.0;699146.0;1203666.0;106739.0;830577.0;912468.0;460075.0;564822.0;0.0;483075.0;277417.0;717756.0;1110549.0;846590.0;617452.0;983791.0;126777.0;743793.0;153292.0;1032243.0;589269.0;244047.0;439492.0;252806.0;433910.0;901044.0;669523.0
Reims;143303.0;798628.0;489319.0;812975.0;955678.0;518717.0;351821.0;788992.0;718086.0;204607.0;488262.0;0.0;350970.0;547194.0;862561.0;599123.0;298942.0;735803.0;429749.0;494623.0;342264.0;784255.0;558194.0;724991.0;525869.0;373160.0;178335.0;935893.0;190767.0
Le Havre;197232.0;965070.0;655761.0;848421.0;1122120.0;383833.0;699995.0;916840.0;654474.0;317932.0;278768.0;352357.0;0.0;713636.0;1029003.0;765565.0;505088.0;902245.0;297726.0;661065.0;211324.0;950697.0;593640.0;466560.0;561315.0;309547.0;181569.0;1017299.0;538942.0
Saint-Etienne;523988.0;331984.0;62746.0;536714.0;489034.0;664226.0;547441.0;322348.0;534680.0;748912.0;721443.0;547080.0;731654.0;0.0;395917.0;152447.0;253686.0;269159.0;575258.0;66694.0;561646.0;317611.0;143596.0;949676.0;388925.0;467318.0;667355.0;469249.0;515151.0
Toulon;839301.0;65126.0;378059.0;467265.0;149044.0;1049809.0;862754.0;234744.0;709522.0;1064226.0;1115945.0;862393.0;1029582.0;396990.0;0.0;369986.0;568999.0;185915.0;969760.0;382007.0;956148.0;83459.0;538098.0;1344178.0;754702.0;861820.0;982669.0;381645.0;830464.0
Grenoble;574835.0;306221.0;114319.0;529106.0;463271.0;790766.0;573274.0;296585.0;661219.0;799760.0;883818.0;597927.0;765117.0;153586.0;370155.0;0.0;304534.0;243396.0;701798.0;103557.0;688185.0;291849.0;270136.0;1076216.0;515465.0;593858.0;718203.0;443487.0;565999.0
Dijon;314572.0;503910.0;194602.0;672750.0;660960.0;639379.0;330656.0;494274.0;670716.0;500795.0;623555.0;298962.0;504853.0;252476.0;567843.0;304405.0;0.0;441085.0;550411.0;199905.0;477556.0;489537.0;332687.0;860284.0;433762.0;421439.0;474523.0;641175.0;267033.0
Nmes;712916.0;122674.0;251674.0;289961.0;279724.0;872505.0;736369.0;57440.0;532218.0;937841.0;989560.0;736008.0;903198.0;270606.0;186607.0;243602.0;442614.0;0.0;843376.0;255622.0;829763.0;108301.0;411713.0;1169363.0;577398.0;735435.0;856284.0;204341.0;704080.0
Angers;296586.0;905145.0;597128.0;636839.0;1062196.0;91817.0;777852.0;770998.0;397768.0;512097.0;131865.0;430351.0;329411.0;576286.0;969079.0;705120.0;550115.0;842320.0;0.0;602323.0;96274.0;890773.0;447799.0;377267.0;349151.0;127698.0;417839.0;838737.0;616799.0
Villeurbanne;471226.0;319769.0;8036.0;542654.0;476819.0;688484.0;482232.0;310133.0;558938.0;696151.0;745701.0;494318.0;661507.0;68336.0;383703.0;105751.0;200924.0;256944.0;599516.0;0.0;585903.0;305396.0;167854.0;973934.0;413183.0;491576.0;614594.0;457034.0;462389.0
Le Mans;209109.0;895403.0;587386.0;685591.0;1052454.0;185861.0;690375.0;761256.0;446520.0;424620.0;160439.0;342874.0;241894.0;566544.0;959337.0;695378.0;477251.0;832578.0;96893.0;592581.0;0.0;881031.0;438057.0;397168.0;339409.0;101594.0;330322.0;861715.0;529322.0
Aix-en-Provence;759066.0;31927.0;297824.0;387030.0;179343.0;969574.0;782519.0;154509.0;629287.0;983991.0;1035710.0;782158.0;949347.0;316755.0;86226.0;289752.0;488764.0;105680.0;889525.0;301772.0;875913.0;0.0;457863.0;1263944.0;674467.0;781585.0;902434.0;301410.0;750229.0
Clermont-Ferrand;423878.0;474622.0;166604.0;378690.0;631672.0;536451.0;634116.0;332176.0;376655.0;639390.0;593667.0;557643.0;603879.0;145762.0;538555.0;274596.0;337003.0;411797.0;447482.0;171799.0;433870.0;460249.0;0.0;821901.0;230901.0;339542.0;570102.0;432635.0;598468.0
Brest;591903.0;1279761.0;971743.0;882585.0;1436811.0;295285.0;1073169.0;1121520.0;643514.0;759857.0;243209.0;725668.0;467001.0;950901.0;1343694.0;1079735.0;860045.0;1169500.0;377380.0;976938.0;395885.0;1265388.0;822414.0;0.0;622931.0;495399.0;623494.0;1084483.0;912116.0
Limoges;393552.0;690942.0;411217.0;291073.0;847992.0;319328.0;729776.0;423412.0;221120.0;609064.0;438127.0;527317.0;573553.0;390375.0;754876.0;519209.0;432663.0;577988.0;352610.0;416412.0;338997.0;676570.0;230751.0;616186.0;0.0;244670.0;539776.0;492971.0;733484.0
Tours;239845.0;797820.0;489802.0;588008.0;954870.0;216923.0;695648.0;663673.0;348937.0;455356.0;258768.0;373610.0;340565.0;468960.0;861753.0;597794.0;421612.0;734995.0;127954.0;494997.0;98970.0;783447.0;340473.0;495497.0;241825.0;0.0;386069.0;764132.0;579776.0
Amiens;141144.0;916896.0;607588.0;820025.0;1073946.0;505862.0;526715.0;888443.0;725135.0;144651.0;435098.0;179076.0;180319.0;665463.0;980830.0;717391.0;473836.0;854071.0;416894.0;612891.0;330492.0;902524.0;565244.0;622890.0;532918.0;380209.0;0.0;988903.0;365661.0
Perpignan;848614.0;317555.0;451627.0;206757.0;474605.0;789302.0;936322.0;156620.0;449015.0;1064125.0;908100.0;935961.0;1028614.0;470558.0;381488.0;443555.0;642567.0;204600.0;846791.0;455575.0;858605.0;303182.0;433017.0;1086159.0;494195.0;764278.0;994838.0;0.0;904032.0
Metz;330786.0;769464.0;460155.0;938304.0;926514.0;706200.0;166749.0;759827.0;924426.0;364916.0;675745.0;190984.0;539179.0;518030.0;833397.0;569959.0;269778.0;706639.0;617232.0;465459.0;529747.0;755091.0;598240.0;912475.0;732209.0;579500.0;366545.0;906729.0;0.0
