;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille;Rennes;Reims;Le Havre;Saint-Etienne;Toulon;Grenoble;Dijon;Nîmes;Angers;Villeurbanne;Le Mans;Aix-en-Provence;Clermont-Ferrand;Brest;Limoges;Tours;Amiens;Perpignan;Metz
Paris;0.0;774924.0;465616.0;679203.0;931974.0;384570.0;491678.0;747620.0;584306.0;225440.0;354495.0;144177.0;195652.0;523490.0;838857.0;575419.0;314941.0;712099.0;295977.0;470919.0;208492.0;760551.0;424422.0;591219.0;392099.0;239388.0;144435.0;848081.0;330625.0
Marseille;774924.0;0.0;313685.0;402891.0;199157.0;985435.0;798380.0;170370.0;645148.0;999843.0;1051576.0;798019.0;965208.0;332616.0;66513.0;305613.0;504625.0;121548.0;905386.0;317633.0;896103.0;33534.0;473724.0;1279804.0;690330.0;797446.0;918301.0;317271.0;766090.0
Lyon;465616.0;313685.0;0.0;537075.0;471240.0;684853.0;487680.0;304554.0;555681.0;690968.0;742449.0;489145.0;656334.0;62756.0;378123.0;111391.0;195751.0;251365.0;596259.0;8594.0;586976.0;299817.0;164597.0;970677.0;409928.0;488319.0;609426.0;451455.0;457216.0
Toulouse;679203.0;402891.0;537075.0;0.0;560496.0;585147.0;968967.0;242608.0;244860.0;894590.0;703950.0;812853.0;859088.0;535772.0;467379.0;529446.0;671854.0;290498.0;642636.0;541466.0;685685.0;389073.0;376148.0;882005.0;290041.0;587029.0;825318.0;205475.0;933319.0
Nice;931974.0;199157.0;471240.0;560496.0;0.0;1142850.0;784865.0;327784.0;802563.0;1157257.0;1208990.0;955433.0;1122623.0;490031.0;149787.0;463027.0;662040.0;278962.0;1062801.0;475047.0;1053517.0;176499.0;631139.0;1437219.0;847744.0;954861.0;1075715.0;474686.0;923505.0
Nantes;384570.0;985435.0;684853.0;585147.0;1142850.0;0.0;865808.0;825031.0;346920.0;600044.0;113312.0;518307.0;384168.0;664242.0;1049802.0;793076.0;638071.0;872921.0;90720.0;690279.0;184229.0;971496.0;535755.0;297015.0;325191.0;215653.0;505800.0;787897.0;704755.0
Strasbourg;491678.0;798380.0;487680.0;968967.0;784865.0;865808.0;0.0;789917.0;968912.0;524649.0;835196.0;350429.0;698625.0;548119.0;863486.0;575192.0;329932.0;736727.0;776677.0;482846.0;689193.0;785180.0;630898.0;1071920.0;731960.0;694129.0;525999.0;936818.0;165141.0
Montpellier;747620.0;170370.0;304554.0;242608.0;327784.0;825031.0;789917.0;0.0;484551.0;963501.0;917792.0;787353.0;927999.0;321951.0;232880.0;294947.0;493960.0;55999.0;771603.0;306967.0;762319.0;154574.0;332402.0;1121695.0;424181.0;663662.0;894228.0;156673.0;755425.0
Bordeaux;584306.0;645148.0;555681.0;244860.0;802563.0;346920.0;968912.0;484551.0;0.0;805994.0;472211.0;724257.0;691212.0;535141.0;709428.0;663975.0;671223.0;532547.0;410897.0;561178.0;453947.0;631122.0;375517.0;650266.0;226989.0;355290.0;736722.0;447523.0;930423.0
Lille;225440.0;999843.0;690968.0;894590.0;1157257.0;600044.0;524649.0;963501.0;805994.0;0.0;570205.0;206487.0;316166.0;749498.0;1064865.0;801427.0;501246.0;938107.0;511686.0;696927.0;424202.0;986559.0;640132.0;758737.0;607808.0;455097.0;143541.0;1063791.0;363854.0
Rennes;354495.0;1051576.0;742449.0;703950.0;1208990.0;113312.0;835196.0;917792.0;472211.0;570205.0;0.0;482642.0;277417.0;717322.0;1110115.0;846156.0;617018.0;983357.0;126778.0;743359.0;152859.0;1031809.0;588835.0;242232.0;438338.0;252373.0;433916.0;901044.0;669090.0
Reims;144177.0;798019.0;489145.0;812853.0;955433.0;518307.0;350429.0;787353.0;724257.0;206487.0;482642.0;0.0;350970.0;547194.0;862561.0;599123.0;298942.0;735803.0;429749.0;494623.0;342264.0;784255.0;558194.0;724991.0;525871.0;373160.0;178344.0;935893.0;190767.0
Le Havre;195652.0;965208.0;656334.0;859088.0;1122623.0;384168.0;698625.0;927999.0;691212.0;316166.0;277417.0;350970.0;0.0;713636.0;1029003.0;765565.0;505087.0;902245.0;297726.0;661065.0;211325.0;950697.0;593640.0;466560.0;561316.0;309547.0;181575.0;1017299.0;538942.0
Saint-Etienne;523490.0;332616.0;62756.0;535772.0;490031.0;664242.0;548119.0;321951.0;535141.0;749498.0;717322.0;547194.0;713636.0;0.0;395918.0;152447.0;253686.0;269159.0;575258.0;66694.0;565975.0;317612.0;143596.0;949676.0;388927.0;467318.0;667362.0;469250.0;515151.0
Toulon;838857.0;66513.0;378123.0;467379.0;149787.0;1049802.0;863486.0;232880.0;709428.0;1064865.0;1110115.0;862561.0;1029003.0;395918.0;0.0;369986.0;568999.0;185922.0;969760.0;382007.0;960476.0;83459.0;538098.0;1344178.0;754703.0;861820.0;982674.0;381645.0;830464.0
Grenoble;575419.0;305613.0;111391.0;529446.0;463027.0;793076.0;575192.0;294947.0;663975.0;801427.0;846156.0;599123.0;765565.0;152447.0;369986.0;0.0;304534.0;243396.0;701798.0;103557.0;692514.0;291849.0;270136.0;1076216.0;515467.0;593858.0;718209.0;443487.0;565999.0
Dijon;314941.0;504625.0;195751.0;671854.0;662040.0;638071.0;329932.0;493960.0;671223.0;501246.0;617018.0;298942.0;505087.0;253686.0;568999.0;304534.0;0.0;441085.0;550411.0;199905.0;477557.0;489537.0;332687.0;860285.0;433749.0;421440.0;474524.0;641175.0;267025.0
Nîmes;712099.0;121548.0;251365.0;290498.0;278962.0;872921.0;736727.0;55999.0;532547.0;938107.0;983357.0;735803.0;902245.0;269159.0;185922.0;243396.0;441085.0;0.0;843376.0;255622.0;834092.0;108301.0;411714.0;1169363.0;577400.0;735435.0;856290.0;204341.0;704080.0
Angers;295977.0;905386.0;596259.0;642636.0;1062801.0;90720.0;776677.0;771603.0;410897.0;511686.0;126778.0;429749.0;297726.0;575258.0;969760.0;701798.0;550411.0;843376.0;0.0;601452.0;95403.0;889902.0;446928.0;377240.0;348281.0;126827.0;416974.0;838710.0;615928.0
Villeurbanne;470919.0;317633.0;8594.0;541466.0;475047.0;690279.0;482846.0;306967.0;561178.0;696927.0;743359.0;494623.0;661065.0;66694.0;382007.0;103557.0;199905.0;255622.0;601452.0;0.0;590232.0;305397.0;167854.0;973934.0;413185.0;491576.0;615834.0;457035.0;463624.0
Le Mans;208492.0;896103.0;586976.0;685685.0;1053517.0;184229.0;689193.0;762319.0;453947.0;424202.0;152859.0;342264.0;211325.0;565975.0;960476.0;692514.0;477557.0;834092.0;95403.0;590232.0;0.0;881031.0;438057.0;397168.0;339410.0;101594.0;330327.0;861715.0;529321.0
Aix-en-Provence;760551.0;33534.0;299817.0;389073.0;176499.0;971496.0;785180.0;154574.0;631122.0;986559.0;1031809.0;784255.0;950697.0;317612.0;83459.0;291849.0;489537.0;108301.0;889902.0;305397.0;881031.0;0.0;457863.0;1263944.0;674469.0;781585.0;902440.0;301410.0;750229.0
Clermont-Ferrand;424422.0;473724.0;164597.0;376148.0;631139.0;535755.0;630898.0;332402.0;375517.0;640132.0;588835.0;558194.0;593640.0;143596.0;538098.0;270136.0;332687.0;411714.0;446928.0;167854.0;438057.0;457863.0;0.0;821777.0;230902.0;339419.0;569985.0;435284.0;598468.0
Brest;591219.0;1279804.0;970677.0;882005.0;1437219.0;297015.0;1071920.0;1121695.0;650266.0;758737.0;242232.0;724991.0;466560.0;949676.0;1344178.0;1076216.0;860285.0;1169363.0;377240.0;973934.0;397168.0;1263944.0;821777.0;0.0;621777.0;495360.0;623461.0;1084483.0;912077.0
Limoges;392099.0;690330.0;409928.0;290041.0;847744.0;325191.0;731960.0;424181.0;226989.0;607808.0;438338.0;525871.0;561316.0;388927.0;754703.0;515467.0;433749.0;577400.0;348281.0;413185.0;339410.0;674469.0;230902.0;621777.0;0.0;242579.0;539796.0;492984.0;733497.0
Tours;239388.0;797446.0;488319.0;587029.0;954861.0;215653.0;694129.0;663662.0;355290.0;455097.0;252373.0;373160.0;309547.0;467318.0;861820.0;593858.0;421440.0;735435.0;126827.0;491576.0;101594.0;781585.0;339419.0;495360.0;242579.0;0.0;386074.0;764132.0;579776.0
Amiens;144435.0;918301.0;609426.0;825318.0;1075715.0;505800.0;525999.0;894228.0;736722.0;143541.0;433916.0;178344.0;181575.0;667362.0;982674.0;718209.0;474524.0;856290.0;416974.0;615834.0;330327.0;902440.0;569985.0;623461.0;539796.0;386074.0;0.0;988901.0;365661.0
Perpignan;848081.0;317271.0;451455.0;205475.0;474686.0;787897.0;936818.0;156673.0;447523.0;1063791.0;901044.0;935893.0;1017299.0;469250.0;381645.0;443487.0;641175.0;204341.0;838710.0;457035.0;861715.0;301410.0;435284.0;1084483.0;492984.0;764132.0;988901.0;0.0;904032.0
Metz;330625.0;766090.0;457216.0;933319.0;923505.0;704755.0;165141.0;755425.0;930423.0;363854.0;669090.0;190767.0;538942.0;515151.0;830464.0;565999.0;267025.0;704080.0;615928.0;463624.0;529321.0;750229.0;598468.0;912077.0;733497.0;579776.0;365661.0;904032.0;0.0
